parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type
Ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,HDACQVRGBOVJII-JBDAPHQKSA-N,Ramiprilat,CC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1C(C(=O)O)CC2CCCC21,KEDYTOTWMPBSLG-HILJTLORSA-N,Liver esterases,0.92,
Amphetamine,CC(N)CC1=CC=CC=C1,KWTSXDURSIMDCE-UHFFFAOYSA-N,4-hydroxyamphetamine,CC(N)CC1=CC=C(O)C=C1,GIKNHHRFLCDOEU-UHFFFAOYSA-N,Cytochrome P450 2D6,0.73,
Amphetamine,CC(N)CC1=CC=CC=C1,KWTSXDURSIMDCE-UHFFFAOYSA-N,Norephedrine,CC(N)C(O)C1=CC=CC=C1,DLNKOYKMWOXYQA-VXNVDRBHSA-N,Cytochrome P450 2D6,0.61,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,N-Methylnicotinium,CN1CCCC1C1=CC=C[N+](C)=C1,HIOROZIUERMMRQ-UHFFFAOYSA-N,,0.82,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Nicotine imine,C[N+]1=CCCC1C1=CC=CN=C1,GTQXYYYOJZZJHL-UHFFFAOYSA-N,"Cytochrome P450 2A6, Cytochrome P450 2B6",0.56,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,,0.79,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Nornicotine,C1=CN=CC(C2CCCN2)=C1,MYKUKUCHPMASKF-UHFFFAOYSA-N,,0.86,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Nicotine glucuronide,CN1CCCC1C1=C[N+](C2OC(C(=O)[O-])C(O)C(O)C2O)=CC=C1,SAWAIULJDYFLPD-SOAFEQHCSA-N,"UDP-glucuronosyltransferase 1-4, UDP-glucuronosyltransferase 1-9",0.38,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Norcotinine,O=C1CCC(C2=CN=CC=C2)N1,FXFANIORDKRCCA-UHFFFAOYSA-N,,0.73,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,Nicotine-1'-N-oxide,C[N+]1([O-])CCCC1C1=CN=CC=C1,RWFBQHICRCUQJJ-UHFFFAOYSA-N,Dimethylaniline monooxygenase [N-oxide-forming] 3,0.75,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,CN(CCCC(=O)C1=CC=CN=C1)N=O,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,,0.39,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,CN(CCCC(O)C1=CN=CC=C1)N=O,OGRXKBUCZFFSTL-UHFFFAOYSA-N,,0.38,
Nicotine,CN1CCCC1C1=CN=CC=C1,SNICXCGAKADSCV-JTQLQIEISA-N,2'-Hydroxynicotine,CN1CCCC1(O)C1=CC=CN=C1,,Cytochrome P450 2A6,0.66,
Lorazepam,O=C1NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N,Lorazepam glucuronide,O=C(O)C1OC(OC2N=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N=C2O)C(O)C(O)C1O,IWOJSSFCRQKNKN-IFBJMGMISA-N,,0.52,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Bortezomib metabolite M1,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-DOTOQJQBSA-N,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 3A4",0.77,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Bortezomib metabolite M34,CC(C)CC(=O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,WREPYMVPDVCLPX-HNNXBMFYSA-N,,0.8,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Bortezomib metabolite M23 or M24 (1),CC(C)C=CNC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,ISSYHCZWYPLNBR-FDMDGMSGSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 2D6",0.72,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N,Bortezomib metabolite M23 or M24 (2),CC(C)=CCNC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,HRTUPFKOFWTBTM-INIZCTEOSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 2D6",0.76,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,"3,4-Dihydroxyphenylacetone",CC(=O)CC1=CC(O)=C(O)C=C1,JQXBETDGCMQLMK-UHFFFAOYSA-N,,0.45,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,3-(3-hydroxyphenyl)-2-methyllactic acid,CC(O)(CC1=CC(O)=CC=C1)C(=O)O,DQCFPKHWBJEWFV-UHFFFAOYSA-N,,0.48,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,3-(3-hydroxyphenyl)-2-methylpropionic acid,CC(CC1=CC(O)=CC=C1)C(=O)O,ZTHRBJCNTAYZRE-UHFFFAOYSA-N,,0.57,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",CC(CC1=CC(O)=C(O)C=C1)C(=O)O,GIIOASILGOFVPI-UHFFFAOYSA-N,,0.67,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,COC1=C(O)C=CC(CC(C)(O)C(=O)O)=C1,YNNLUYGFVUZDAD-UHFFFAOYSA-N,,0.5,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,COC1=C(O)C=CC(CC(C)C(=O)O)=C1,XUQXZROVMZNKPO-UHFFFAOYSA-N,,0.59,
Tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,TVYLLZQTGLZFBW-UHFFFAOYSA-N,O-Desmethyltramadol,CN(C)CC1CCCCC1(O)C1=CC(O)=CC=C1,UWJUQVWARXYRCG-UHFFFAOYSA-N,Cytochrome P450 2D6,0.93,
Tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,TVYLLZQTGLZFBW-UHFFFAOYSA-N,N-Desmethyltramadol,CNCC1CCCCC1(O)C1=CC(OC)=CC=C1,VUMQHLSPUAFKKK-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2B6",0.97,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)","Cytochrome P450 1A2, Cytochrome P450 2E1",0.9,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4",0.91,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,3,7-Trimethyluric acid",CN1C(=O)C2=C(NC(=O)N2C)N(C)C1=O,BYXCFUMGEBZDDI-UHFFFAOYSA-N,"Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2E1",0.95,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,7-dimethylxanthine",CN1C(=O)NC2=C(C1=O)N(C)C=N2,QUNWUDVFRNGTCO-UHFFFAOYSA-N,Cytochrome P450 1A2,0.85,
Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1-Methylxanthine,CN1C(=O)NC2=C(NC=N2)C1=O,MVOYJPOZRLFTCP-UHFFFAOYSA-N,Cytochrome P450 1A2,0.82,
Sildenafil,CCCC1=NN(C)C2=C1N=C(C1=CC(S(=O)(=O)N3CCN(C)CC3)=CC=C1OCC)NC2=O,BNRNXUUZRGQAQC-UHFFFAOYSA-N,"N-Desmethyl sildenafil (UK-103,320)",CCCC1=NN(C)C2=C1NC(C1=C(OCC)C=CC(S(=O)(=O)N3CCNCC3)=C1)=NC2=O,UZTKBZXHEOVDRL-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 2C9",0.99,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,2-Chloroticlopidine,ClC1=CC2=C(CCN(CC3=CC=CC=C3Cl)C2)S1,INYHLAYOOFHUNE-UHFFFAOYSA-N,Myeloperoxidase,0.85,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,2-Oxoticlopidine,O=C1C=C2CN(CC3=CC=CC=C3Cl)CCC2S1,DJZQIXWGIZIETJ-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19",0.32,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,Thienodihydropyridinium,ClC1=CC=CC=C1CN1C=C2C=C[S+]=C2CC1,RLTCLQFOWWSHJX-UHFFFAOYSA-N,"Myeloperoxidase, Cytochrome P450 3A4",0.32,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,Ticlopidine S-oxide,O=S1C=CC2=C1CCN(CC1=CC=CC=C1Cl)C2,SSVDYGNPKZJQKO-UHFFFAOYSA-N,"Cytochrome P450 2C19, Cytochrome P450 2D6",0.33,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,Dehydrogenated ticlopidine,ClC1=CC=CC=C1CN1C=CC2=C(C=CS2)C1,BNJVHGHQYHAEDJ-UHFFFAOYSA-N,Myeloperoxidase,0.56,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,Ticlopidine N-oxide,[O-][N+]1(CC2=CC=CC=C2Cl)CCC2=C(C=CS2)C1,YEICEJCPALKCAT-UHFFFAOYSA-N,Myeloperoxidase,0.78,
Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N,7-Hydroxyticlopidine,OC1CN(CC2=CC=CC=C2Cl)CC2=C1SC=C2,GWHGEZHHJDSDMI-UHFFFAOYSA-N,,0.8,
Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,PTKSEFOSCHHMPD-UHFFFAOYSA-N,desglymidodrine,COC1=CC(C(O)CN)=C(OC)C=C1,VFRCNXKYZVQYLX-UHFFFAOYSA-N,,0.81,
Torasemide,CC1=CC(NC2=C(S(=O)(=O)NC(=O)NC(C)C)C=NC=C2)=CC=C1,NGBFQHCMQULJNZ-UHFFFAOYSA-N,Torasemide M1 (hydroxytorsemide),CC(C)NC(=O)NS(=O)(=O)C1=CNC=CC1=NC1=CC=CC(CO)=C1,WCYVLAMJCQZUCR-UHFFFAOYSA-N,"Cytochrome P450 2C8, Cytochrome P450 2C9",0.57,
Eletriptan,CN1CCCC1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,PWVXXGRKLHYWKM-LJQANCHMSA-N,N-Desmethyleletriptan,O=S(=O)(CCC1=CC2=C(C=C1)NC=C2CC1CCCN1)C1=CC=CC=C1,HHTDENYTSCXDFO-GOSISDBHSA-N,"Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",0.96,
Eletriptan,CN1CCCC1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,PWVXXGRKLHYWKM-LJQANCHMSA-N,Eletriptan N-oxide,C[N+]1([O-])CCCC1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,QXXCIRSBRHOOJE-PHSANKKPSA-N,Prostaglandin G/H synthase 1,0.91,
Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCC(C)CC3)C=C2)C1=O,WIGIZIANZCJQQY-RUCARUNLSA-N,Cyclohexyl hydroxymethyl glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCC(CO)CC3)C=C2)C1=O,YUNQMQLWOOVHKI-UHFFFAOYSA-N,Cytochrome P450 2C9,0.97,
Indinavir,CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C2=CC=CC=C2CC1O,CBVCZFGXHXORBI-PXQQMZJSSA-N,Metabolite M6,CC(C)(C)N=C(O)C1CNCCN1CC(O)CC(CC1=CC=CC=C1)C(O)=NC1C2=CC=CC=C2CC1O,MKMGKCALCCOODL-GVPWJHIJSA-N,Cytochrome P450 3A4,0.53,
Temazepam,CN1C(=O)C(O)N=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,SEQDDYPDSLOBDC-UHFFFAOYSA-N,Oxazepam,O=C1NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=NC1O,ADIMAYPTOBDMTL-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19",0.87,
Temazepam,CN1C(=O)C(O)N=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,SEQDDYPDSLOBDC-UHFFFAOYSA-N,Oxazepam glucuronide,O=C(O)C1OC(OC2N=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N=C2O)C(O)C(O)C1O,FIKQKGFUBZQEBL-IFBJMGMISA-N,,0.49,
Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,12-Hydroxynevirapine,OCC1=C2N=C(O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,SEBABOMFNCVZGF-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 3A4, Cytochrome P450 3A5",0.65,
Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,2-Hydroxynevirapine,CC1=CC(O)=NC2=C1N=C(O)C1=C(N=CC=C1)N2C1CC1,LFZSOJABLBVGRJ-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 3A5",0.64,
Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,8-Hydroxynevirapine,CC1=C2N=C(O)C3=C(N=CC(O)=C3)N(C3CC3)C2=NC=C1,DZPVEPLRIKDBFC-UHFFFAOYSA-N,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 3A4",0.64,
Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,NQDJXKOVJZTUJA-UHFFFAOYSA-N,3-Hydroxynevirapine,CC1=C2N=C(O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1O,DANIONWINZEYME-UHFFFAOYSA-N,Cytochrome P450 2B6,0.64,
Mesalazine,NC1=CC(C(=O)O)=C(O)C=C1,KBOPZPXVLCULAV-UHFFFAOYSA-N,N-acetyl-5-ASA (Ac-5-ASA),CC(=O)NC1=CC(C(=O)O)=C(O)C=C1,GEFDRROBUCULOD-UHFFFAOYSA-N,Arylamine N-acetyltransferase 1,0.72,
Dapsone,NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,MQJKPEGWNLWLTK-UHFFFAOYSA-N,dapsone hydroxylamine,NC1=CC=C(S(=O)(=O)C2=CC=C(NO)C=C2)C=C1,IYDSJDWESCGRKW-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 2E1, Cytochrome P450 3A4, Myeloperoxidase, Prostaglandin G/H synthase 2",0.87,
Dapsone,NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,MQJKPEGWNLWLTK-UHFFFAOYSA-N,Monoacetyldapsone,CC(=O)NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,WDOCBIHNYYQINH-UHFFFAOYSA-N,Arylamine N-acetyltransferase 2,0.74,
Phenytoin,O=C1NC(=O)C(C2=CC=CC=C2)(C2=CC=CC=C2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N,Phenytoin arene-oxide,O=C1NC(=O)C(C2=CC3OC3C=C2)(C2=CC=CC=C2)N1,WBRFFCOFWKCXFD-UHFFFAOYSA-N,"Cytochrome P450 2C9, Cytochrome P450 2C19",0.39,
Anagrelide,O=C1CN2CC3=C(Cl)C(Cl)=CC=C3N=C2N1,OTBXOEAOVRKTNQ-UHFFFAOYSA-N,"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",O=C1NC2=NC3=CC=C(Cl)C(Cl)=C3CN2C1O,KAXTUTDKZVOONF-UHFFFAOYSA-N,Cytochrome P450 1A2,0.85,
"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",O=C1NC2=NC3=CC=C(Cl)C(Cl)=C3CN2C1O,KAXTUTDKZVOONF-UHFFFAOYSA-N,"2-amino-5,6-dichloro-3,4,-dihydroquinazoline",NC1=NCC2=C(C=CC(Cl)=C2Cl)N1,VBKOTIVQMCTTAQ-UHFFFAOYSA-N,Cytochrome P450 1A2,0.4,
Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,IUBSYMUCCVWXPE-UHFFFAOYSA-N,alpha-Hydroxymetoprolol,COCC(O)C1=CC=C(OCC(O)CNC(C)C)C=C1,OFRYBPCSEMMZHR-UHFFFAOYSA-N,Cytochrome P450 2D6,0.83,
Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,UHSKFQJFRQCDBE-UHFFFAOYSA-N,N-despropyl ropinirole,CCCNCCC1=CC=CC2=C1CC(=O)N2,VKDWFHAQOZYATG-UHFFFAOYSA-N,Cytochrome P450 1A2,0.96,
Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,3-methylxanthine,CN1C(=O)NC(=O)C2=C1N=CN2,GMSNIKWWOQHZGF-UHFFFAOYSA-N,Cytochrome P450 1A2,0.86,
Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,0.91,
Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,"1,3-dimethyluric acid",CN1C(=O)C2=C(NC(=O)N2)N(C)C1=O,OTSBKHHWSQYEHK-UHFFFAOYSA-N,Cytochrome P450 2E1,0.94,
Liothyronine,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(=O)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,Monoiodothyronine,NC(CC1=CC(I)=C(OC2=CC=C(O)C=C2)C=C1)C(=O)O,,,0.88,
Liothyronine,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(=O)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,Tiratricol,O=C(O)CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1,"InChI=1S/C14H9I3O4/c15-9-6-8(1-2-12(9)18)21-14-10(16)3-7(4-11(14)17)5-13(19)20/h1-4,6,18H,5H2,(H,19,20)",,0.69,
Liothyronine,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(=O)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,Triiodothyronine sulfate,NC(CC1=CC(I)=C(OC2=CC(I)=C(OS(=O)(=O)O)C=C2)C(I)=C1)C(=O)O,XBQYQXVJBNDCGY-LBPRGKRZSA-N,,0.79,
Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N,mono-isopropyl-disopyramide,CC(C)NCCC(C(=N)O)(C1=CC=CC=C1)C1=CC=CC=N1,UWNSWIXIVDMCHZ-UHFFFAOYSA-N,Cytochrome P450 3A4,0.57,
Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,NNJVILVZKWQKPM-UHFFFAOYSA-N,3-hydroxylidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC(O)=C1C,PMGUCIDDSCRAMY-UHFFFAOYSA-N,"Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 3A7",0.72,
