parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_types,fingerprint_similarity
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,12-HETE,CCCCCC=CCC(O)C=CC=CCC=CCCCC(=O)O,CYP1A1; CYP1A2; CYP2C9,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0.62
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,9-HETE,CCCCCC=CCC=CCC(O)C=CC=CCCCC(=O)O,CYP1A2; CYP2C8; CYP2C9,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0.63
arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,8-HETE,CCCCCC=CCC=CC=CC(O)CC=CCCCC(=O)O,CYP1A1; CYP1A2; CYP2C8; CYP2C9,"Aliphatic hydroxylation of acyclic 1,2-disubstituted alkene",0.62
bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,"4-(2-hydroxy-1,1-dimethylethyl)-N-[6-(2-hydroxyethoxy)-5-(2-methoxyphenoxy)-[2,2Ã¢â‚¬â„¢]bipyrimidinyl-4-yl]-benzenesulfonamide",COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)CO)C=C1,CYP3A4 (major); CYP2C9 (minor),Hydroxylation of terminal methyl,0.98
bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(C2=NC=CC=N2)N=C1NS(=O)(=O)C1=CC=C(C(C)(C)C)C=C1,"4-tert-butyl-N-[6-(2-hydroxyethoxy)-5-(2-hydroxyphenoxy)-[2,2Ã¢â‚¬â„¢]bipyrimidinyl-4-yl]-benzenesulfonamide",CC(C)(C)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC2=CC=CC=C2O)C=C1,CYP3A4 (major); CYP2C9 (minor),O-aryl demethylation,0.99
celecoxib,CC1=CC=C(C2=CC(C(F)(F)F)=NN2C2=CC=C(S(N)(=O)=O)C=C2)C=C1,Hydroxy celecoxib,NS(=O)(=O)C1=CC=C(N2N=C(C(F)(F)F)C=C2C2=CC=C(CO)C=C2)C=C1,CYP2C9 (major); CYP3A4 (minor); CYP2C19 (minor),Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,0.98
cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,4-{phenyl[4-(3-phenylprop-2-en-1-yl)piperazin-1-yl]methyl}phenol,OC1=CC=C(C(C2=CC=CC=C2)N2CCN(CC=CC3=CC=CC=C3)CC2)C=C1,CYP2B6,p-Hydroxylation of monosubstituted benzene,0.89
cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,4-{3-[4-(diphenylmethyl)piperazin-1-yl]prop-1-en-1-yl}phenol,OC1=CC=C(C=CCN2CCN(C(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C=C1,CYP2D6,p-Hydroxylation of monosubstituted benzene,0.9
cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,1-Benzhydrylpiperazine,C1=CC=C(C(C2=CC=CC=C2)N2CCNCC2)C=C1,CYP2C9; CYP1A2; CYP2A6,N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1,0.76
cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,Cinnamaldehyde,O=CC=CC1=CC=CC=C1,CYP2C9; CYP1A2; CYP2A6,N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1,0.22
cinnarizine,C(=CC1=CC=CC=C1)CN1CCN(C(C2=CC=CC=C2)C2=CC=CC=C2)CC1,Benzophenone,O=C(C1=CC=CC=C1)C1=CC=CC=C1,CYP2C9; CYP1A2; CYP2A6,OXIDATIVE_DEAMINATION_OF_TERTIARY_AMINES; N_DEALKYLATION_OF_ALICYCLIC_TERTIARY_AMINES_PATTERN1,0.21
clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,N-desmethyl-CLAR,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,CYP3A4,N-demethylation,0.97
codeine,COC1=CC=C2CC3C4C=CC(O)C5OC1=C2C45CCN3C,morphine,CN1CCC23C4=C5C=CC(O)=C4OC2C(O)C=CC3C1C5,CYP2D6,O-aryl demethylation,0.99
codeine,COC1=CC=C2CC3C4C=CC(O)C5OC1=C2C45CCN3C,norcodeine,COC1=CC=C2CC3NCCC45C2=C1OC4C(O)C=CC35,CYP3A4,N-dealkylation of alicyclic tertiary amine,0.98
cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,N-Desmethylcyclobenzaprine,CNCCC=C1C2=CC=CC=C2C=CC2=CC=CC=C12,CYP1A2 (major); CYP3A4 (major); CYP2D6 (minor),N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES,0.98
dapsone,NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,N-Hydroxydapsone,NC1=CC=C(S(=O)(=O)C2=CC=C(NO)C=C2)C=C1,CYP2E1; CYP3A4; CYP2C9; CYP2C8,N-hydroxylation of aniline to hydroxylamine,0.87
desogestrel,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,3-alpha-OH-desogestrel,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC,CYP2C9; CYP2C19,Allylic hydroxylation,0.9
desogestrel,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,3-beta-OH-desogestrel,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC,CYP2C9; CYP2C19,Allylic hydroxylation,0.9
diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,4'-OH-diclofenac,O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=C(O)C=C1Cl,CYP2C9,Hydroxylation of benzene on carbon para to a strongly electron donating group,0.87
diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,N-Desmethyldiphenhydramine,CNCCOC(C1=CC=CC=C1)C1=CC=CC=C1,CYP2D6; CYP1A2; CYP2C9; CYP2C19; CYP2B6,N-dealkylation of acyclic tertiary amine,0.96
doxepin,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12,nordoxepin,CNCCC=C1C2=CC=CC=C2COC2=CC=CC=C12,CYP2C19,N-dealkylation of acyclic tertiary amine,0.99
fentanyl,CCC(=O)N(C1=CC=CC=C1)C1CCN(CCC2=CC=CC=C2)CC1,Norfentanyl,CCC(=O)N(C1=CC=CC=C1)C1CCNCC1,CYP3A4,N-dealkylation of alicyclic tertiary amine,0.78
flunarizine,FC1=CC=C(C(C2=CC=C(F)C=C2)N2CCN(CC=CC3=CC=CC=C3)CC2)C=C1,1Ã¢â‚¬Â[bis(4Ã¢â‚¬Âfluorophenyl)methyl]piperazine,FC1=CC=C(C(C2=CC=C(F)C=C2)N2CCNCC2)C=C1,CYP1A2; CYP2C9,N-dealkylation of alicyclic tertiary amine,0.79
flunarizine,FC1=CC=C(C(C2=CC=C(F)C=C2)N2CCN(CC=CC3=CC=CC=C3)CC2)C=C1,p-Hydroxyflunarizine,OC1=CC=C(C=CCN2CCN(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)CC2)C=C1,CYP2D6,p-Hydroxylation of monosubstituted benzene,0.91
flunarizine,FC1=CC=C(C(C2=CC=C(F)C=C2)N2CCN(CC=CC3=CC=CC=C3)CC2)C=C1,bis(4Ã¢â‚¬Âfluorophenyl)methanone,O=C(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,CYP2C9; CYP1A1,N-dealkylation of alicyclic tertiary amine,0.28
haloperidol,O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,Haloperidol pyridinium,O=C(CCCN1C=CC(=C2C=CC(=[Cl+])C=C2)C=C1)C1=CC=C(F)C=C1,CYP3A4,Formation of pyridinium from 4-substituted piperidine,0.42
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,2-Hydroxyimipramine ,CN(C)CCCN1C2=CC=CC=C2CCC2=CC(O)=CC=C21,CYP2C19 (major); CYP2D6 ,Aromatic hydroxylation of fused benzene ring,0.86
imipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,Desimipramine ,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C21,CYP2C19; CYP2C18; CYP2D6; CYP1A2 ,N-dealkylation of acyclic tertiary amine,0.99
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,"2-(3-hydroxybutyl)-3-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1,3-diazaspiro[4.4]non-1-en-4-one",CC(O)CCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,Hydroxylation of penultimate aliphatic secondary carbon,0.98
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,M7,CCCCC1=NC2(CCC(O)C2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,Hydroxylation of alicyclic secondary carbon,0.92
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,M3,O=C(O)CCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1,CYP2C9,C-Oxidation,0.98
l-cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,Dechloroethyl cyclophosphamide,O=P1(NCCCl)NCCCO1,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.66
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,3-Dechloroethylifosfamide,O=P1(NCCCl)NCCCO1,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.59
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,2-Dechloroethylifosfamide,NP1(=O)OCCCN1CCCl,CYP2B6; CYP3A4; CYP3A5,N-dechloroethylation,0.83
l-ifosfamide,O=P1(NCCCl)OCCCN1CCCl,4-Hydroxyifosfamide,O=P1(NCCCl)OCCC(O)N1CCCl,CYP2B6 (major); CYP3A4 (major); CYP2A6 (minor); CYP2C8 (minor); CYP2C9 (minor); CYP2C19 (minor); CYP3A5 (minor),4-alkyl hydroxylation of oxoazaphosphorine,0.68
licofelone,CC1(C)CC2=C(C3=CC=CC=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,licofelone M4,CC1(C)CC2=C(C3=CC=C(O)C=C3)C(C3=CC=C(Cl)C=C3)=C(CC(=O)O)N2C1,CYP3A4; CYP2C8; CYP2C19; CYP2D6,p-Hydroxylation of monosubstituted benzene,0.98
lisofylline,CC(O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,pentoxifylline,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,CYP1A2,Oxidation of secondary alcohol to ketone,0.97
maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C1=CC=CC=C12,desmethylmaprotiline,NCCCC12CCC(C3=CC=CC=C31)C1=CC=CC=C12,CYP2D6; CYP1A2,N-dealkylation of acyclic secondary amine,0.97
nortriptyline,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,E-10-OH-nortriptyline,CNCCC=C1C2=CC=CC=C2CC(O)C2=CC=CC=C12,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.73
nortriptyline,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,demethylnortriptyline,NCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CYP2C19,N-dealkylation of acyclic secondary amine,0.98
olanzapine,CC1=CC2=C(NC3=CC=CC=C3N=C2N2CCN(C)CC2)S1,,CN1CCN(C2=NC3=CC=CC=C3NC3=C2C=C(CO)S3)CC1,CYP1A2;CYP2D6;CYP3A4,ALIPHATIC HYDROXYLATION,0.95
pefloxacin,CCN1C=C(C(=O)O)C(=O)C2=CC(F)=C(N3CCN(C)CC3)C=C21,"pefloxacin, N-desmethyl",CCN1C=C(C(=O)O)C(=O)C2=CC(F)=C(N3CCNCC3)C=C21,CYP1A2,N-dealkylation of alicyclic tertiary amine,0.99
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,6beta-OH-progesterone,CC(=O)C1CCC2C3CC(O)C4=CC(=O)CCC4(C)C3CCC12C,CYP3A4; CYP3A4; CYP4B1,Hydroxylation of carbon gamma to conjugated carbonyl,0.73
promazine,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C21,Promazine 5-sulfoxide,CN(C)CCCN1C2=CC=CC=C2S(=O)C2=CC=CC=C21,CYP1A2 (major); CYP3A4 (major); CYP2A6 (minor); CYP2B6 (minor; CYP2D6 (minor); CYP2E1 (minor),S-oxidation of alkylarylthioether to sulfoxide,0.81
promazine,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C21,N-Desmethyl promazine,CNCCCN1C2=CC=CC=C2SC2=CC=CC=C21,CYP1A2 (major); CYP2C9 (minor); CYP2C19 (major); CYP2A6 (minor); CYP2B6 (minor); CYP2D6 (minor); CYP2E1 (minor),N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES,0.98
propofol,CC(C)C1=CC=CC(C(C)C)=C1O,4-OH-propofol,CC(C)C1=CC(O)=CC(C(C)C)=C1O,CYP2B6 (major); CYP2C9 (major); CYP1A2 (minor); CYP2A6 (minor); CYP2C8 (minor); CYP2C19 (minor); CYP2D6 (minor),Hydroxylation of benzene on carbon para to a strongly electron donating group,0.83
quinidine,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12,3-Hydroxyquinidine,C=CC1(O)CN2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12,CYP3A4,Allylic hydroxylation,0.89
quinine,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12,,C=CC1(O)CN2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12,CYP2C19;CYP3A4,Aliphatic Hydroxylation,0.89
selegiline,C#CCN(C)C(C)CC1=CC=CC=C1,Methamphetamine,CNC(C)CC1=CC=CC=C1,CYP2B6; CYP2C19; CYP2D6; CYP1A2; CYP2C9; CYP3A4,N-depropargylation of secondary or tertiary amine,0.68
sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,Sulfamethoxazole N4-hydroxylamine,CC1=CC(NS(=O)(=O)C2=CC=C(NO)C=C2)=NO1,CYP2C9,N-hydroxylation of primary arylamine,0.95
tamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,N-Desmethyltamoxifen,CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCNC)C=C1)C1=CC=CC=C1,CYP2D6; CYP1A2; CYP1A1; CYP3A4; CYP1B1 (at a high concentration (250ÃŽÂ¼M)); CYP2C9 (at a high concentration (250ÃŽÂ¼M)); CYP2C19 (at a high concentration (250ÃŽÂ¼M)); CYP3A5 (at a high concentration (250ÃŽÂ¼M)); CYP2E1,N-dealkylation of acyclic tertiary amine,0.98
terbinafine,CN(CC=CC#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,N-Desmethylterbinafine,CC(C)(C)C#CC=CCNCC1=CC=CC2=CC=CC=C12,CYP2C8; CYP2C9; CYP1A2,N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES,0.88
terbinafine,CN(CC=CC#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,Hydroxyterbinafine,CN(CC=CC#CC(C)(C)CO)CC1=CC=CC2=CC=CC=C12,CYP1A2; CYP2C8; CYP2C9; CYP2C19,Hydroxylation of terminal methyl,0.93
terbinafine,CN(CC=CC#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,1-Naphtaldehyde,O=CC1=CC=CC2=CC=CC=C12,CYP3A4,N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1,0.32
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,6ÃŽÂ²Hydroxytestosterone ,CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C(O)CCC12,CYP3A4; CYP3A5;  CYP2C9; CYP1A1; CYP1B1,Hydroxylation of carbon gamma to conjugated carbonyl,0.81
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,Androstenedione ,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,CYP2C19; CYP2C9 ,Oxidation of secondary alcohol to ketone,0.7
ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,Thienodihydropyridinium,ClC1=CC=CC=C1CN1C=C2C=C[S+]=C2CC1,CYP3A4; CYP2C19,Formation of imminium ion from N-substituted piperidine,0.32
ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C=CS2)C1,Ticlopidine S-oxide,O=S1C=CC2=C1CCN(CC1=CC=CC=C1Cl)C2,CYP2C19; CYP2D6,Thiohene S-oxidation,0.33
toremifene,CN(C)CCOC1=CC=C(C(=C(CCCl)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,N-desmethyltoremifene,CNCCOC1=CC=C(C(=C(CCCl)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CYP1A1; CYP1A2; CYP3A4 (major),N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES,0.98
toremifene,CN(C)CCOC1=CC=C(C(=C(CCCl)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,N-desmethyltoremifene,CNCCOC1=CC=C(C(=C(CCCl)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CYP1A1; CYP1A2; CYP3A4 (major),Deamino,0.98
unii-ku5u13xy7j component vwcugcyzzgrkee-dyesrhjhsa-n,CCC(OC(C)=O)C(CC(C)NC)(C1=CC=CC=C1)C1=CC=CC=C1,,CCC(OC(C)=O)C(CC(C)N)(C1=CC=CC=C1)C1=CC=CC=C1,CYP2B6,N-demethylation,0.94
valproic acid,CCCC(CCC)C(=O)O,4-Hydroxyvalproate,CCCC(CC(C)O)C(=O)O,CYP2C9; CYP2B6; CYP2A6,Hydroxylation of penultimate aliphatic secondary carbon,0.63
valproic acid,CCCC(CCC)C(=O)O,5-Hydroxyvalproate,CCCC(CCCO)C(=O)O,CYP2C9; CYP2B6; CYP2A6,Hydroxylation of terminal methyl,0.82
valproic acid,CCCC(CCC)C(=O)O,3-Hydroxyvalproate,CCCC(C(=O)O)C(O)CC,CYP2C9; CYP2B6; CYP2A6,Hydroxylation of acyclic aliphatic secondary carbon,0.56
valproic acid,CCCC(CCC)C(=O)O,4-ene-valproate,C=CCC(CCC)C(=O)O,CYP2C9,Terminal desaturation,0.67
valsartan,CCCCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)C(C(=O)O)C(C)C,4-OH-valsartan,CC(O)CCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)C(C(=O)O)C(C)C,CYP2C9,Hydroxylation of acyclic aliphatic secondary carbon,0.98
Artesunate,CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,,CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,CYP2A6,O-dealkylation,0.9
