parent_name,parent_smiles,metabolite_name,metabolite_smiles,enzymes,reaction_type,fingerprint_similarity
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",CC1=NC2=C(C(=O)N(C)C(=O)N2CC2CCCCC2)N1C,,CN1C(=O)C2=C(N=C(CO)N2C)N(CC2CCCCC2)C1=O,CYP1A2,Aliphatic Hydroxylation,0.96
(-)-ethosuximide,CCC1(C)CC(O)=NC1=O,,CC(O)C1(C)CC(O)=NC1=O,CYP2E1;CYP3A4,Alphatic Hydroxylation,0.69
(-)-etodolac,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,6-Hydroxyetodolac,CCC1=CC(O)=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,CYP2C9,Aromatic hydroxylation of fused benzene ring,0.94
(-)-etodolac,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,7-Hydroxyetodolac,CCC1=C(O)C=CC2=C1NC1=C2CCOC1(CC)CC(=O)O,CYP2C9,Aromatic hydroxylation of fused benzene ring,0.93
(-)-limonene,C=C(C)C1CC=C(C)CC1,Carveol,C=C(C)C1CC=C(C)C(O)C1,CYP2C9; CYP2C19,Allylic hydroxylation,0.58
(-)-limonene,C=C(C)C1CC=C(C)CC1,Perillyl alcohol,C=C(C)C1CC=C(CO)CC1,CYP2C9; CYP2C19; CYP3A4,Allylic hydroxylation,0.76
(-)-pseudococaine,COC(=O)C1C(OC(=O)C2=CC=CC=C2)CC2CCC1N2C,Norcocaine,COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)N2,CYP3A4,N-dealkylation of alicyclic tertiary amine,0.94
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)C2=CC=CC=C2C1=O,"cis, trans-5'-OH-thalidomide",O=C1N=C(O)C(N2C(=O)C3=CC=CC=C3C2=O)CC1O,CYP2C19,Alpha hydroxylation of carbonyl group,0.62
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)C2=CC=CC=C2C1=O,5-OH-thalidomide,O=C1N=C(O)CCC1N1C(=O)C2=CC=C(O)C=C2C1=O,CYP2C19,Aromatic hydroxylation of fused benzene ring,0.9
(-)-thalidomide,O=C1N=C(O)CCC1N1C(=O)C2=CC=CC=C2C1=O,(-)-thalidomide arene oxide,O=C1N=C(O)CCC1N1C(=O)C2=CC3OC3C=C2C1=O,CYP1A1; CYP1A2; CYP2C19; CYP2E1,ARENE_EPOXIDATION,0.44
(-)-zileuton,CC(C1=CC2=CC=CC=C2S1)N(O)C(=N)O,Zileuton sulfoxide,CC(C1=CC2=CC=CC=C2S1=O)N(O)C(=N)O,CYP3A4,Thiohene S-oxidation,0.25
(-)-zileuton,CC(C1=CC2=CC=CC=C2S1)N(O)C(=N)O,Hydroxyzileuton,CC(C1=CC2=CC=C(O)C=C2S1)N(O)C(=N)O,CYP1A2; CYP2C9,Aromatic hydroxylation of fused benzene ring,0.89
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,cis-hydroxyperhexilline,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.8
Perhexiline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,trans-hydroxyperhexilline,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CYP2D6,Hydroxylation of alicyclic secondary carbon,0.8
(+)-3-carene,CC1=CCC2C(C1)C2(C)C,3-Caren-10-ol,CC1(C)C2CC=C(CO)CC21,CYP2B6; CYP2C19; CYP2D6,Hydroxlation of methyl carbon adjacent to an aliphatic ring,0.78
(+)-3-carene,CC1=CCC2C(C1)C2(C)C,Carene epoxide,CC12CC3C(CC1O2)C3(C)C,CYP1A2,EPOXIDATION_OF_112_TRISUBSTITUTED_ALKLENE,0.24
(+)-bisoprolol,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,"(+)-bisoprolol, O-deisopropyl",CC(C)NCC(O)COC1=CC=C(COCCO)C=C1,CYP2D6; CYP3A4,O-deisopropylation,0.94
(+)-fipronil,N#CC1=NN(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)C(N)=C1S(=O)C(F)(F)F,f ipronil sulfone,N#CC1=NN(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)C(N)=C1S(=O)(=O)C(F)(F)F,CYP3A4,S-oxidation of sulfoxide to sulfone,0.96
(+)-halofantrine,CCCCN(CCCC)CCC(O)C1=CC2=C(Cl)C=C(Cl)C=C2C2=CC(C(F)(F)F)=CC=C12,"(+)-halofantrine, N-desbutyl",CCCCNCCC(O)C1=CC2=C(Cl)C=C(Cl)C=C2C2=CC(C(F)(F)F)=CC=C12,CYP3A4,N-dealkylation of acyclic tertiary amine,0.96
(+)-isothujone,CC1C(=O)CC2(C(C)C)CC12,4-hydroxy-isothujone,CC(C)C12CC(=O)C(C)(O)C1C2,CYP2A6; CYP2B6; CYP2D6; CYP3A4,Hydroxylation of penultimate aliphatic tertiary carbon,0.55
(+)-isothujone,CC1C(=O)CC2(C(C)C)CC12,7-hydroxy-isothujone,CC1C(=O)CC2(C(C)(C)O)CC12,CYP2A6; CYP2B6; CYP2D6; CYP3A4,Hydroxylation of penultimate aliphatic tertiary carbon,0.61
"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",COC1=CC=C2C(=C1)CCC1C2CCC2(C)C(O)CCC12,Estradiol,CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O,CYP2C19(major);CYP2C9;CYP1A2;CYP3A4,O-Demethylation,0.94
(2r)-1-(2-methoxyphenyl)propan-2-amine,COC1=CC=CC=C1CC(C)N,,CC(N)CC1=CC=CC=C1O,CYP2D6,O-Demethylation,0.77
(2r)-1-(2-methoxyphenyl)propan-2-amine,COC1=CC=CC=C1CC(C)N,,COC1=C(O)C=CC=C1CC(C)N,CYP2D6,Aromatic Hydroxylation,0.76
(2r)-1-(2-methoxyphenyl)propan-2-amine,COC1=CC=CC=C1CC(C)N,,COC1CCC(O)CC1CC(C)N,CYP2D6,Aromatic Hydroxylation,0.08
(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,CC1=C(C2=CC=C(C(C)C(=O)O)C=C2)SC=C1,,CC1=C(C2=CC=C(C(C)C(=O)O)C=C2)SC(=O)C1,CYP2C9,C-Oxidation,0.3
"(2s,5s)-troglitazone",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)N=C4O)C=C3)O2)C(C)=C1O,"(2S)â€3â€(4â€{[(2S)â€6â€hydroxyâ€2,5,7,8â€tetramethylâ€3,4â€dihydroâ€1â€benzopyranâ€2â€yl]methoxy}phenyl)â€2â€(hydroxysulfanyl)propanecarbonyl isocyanate",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC(SO)C(=O)N=C=O)C=C3)O2)C(C)=C1O,CYP3A4,"2,4-thiazolidinedione ring opening",0.73
"(2s,5s)-troglitazone",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)N=C4O)C=C3)O2)C(C)=C1O,"(1S)-1-(formylcarbamoyl)-2-(4-{[(2S)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl]methoxy}phenyl)ethane-1-sulfinic acid",CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC(C(=O)N=CO)S(=O)O)C=C3)O2)C(C)=C1O,CYP3A4,"2,4-thiazolidinedione ring opening",0.71
Saquinavir,CC(C)(C)N=C(O)C1CC2CCCCC2CN1CC(O)C(CC1=CC=CC=C1)N=C(O)C(CC(=N)O)NC(=O)C1=CC=C2C=CC=CC2=N1,"(2S)-N-[(2S,3R)-4-[(3S,4aR,8aS)-3-(tert-butylcarbamoyl)-6-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)C1CC2CC(O)CCC2CN1CC(O)C(CC1=CC=CC=C1)N=C(O)C(CC(=N)O)NC(=O)C1=CC=C2C=CC=CC2=N1,CYP3A4,Hydroxylation of alicyclic secondary carbon,0.99
Saquinavir,CC(C)(C)N=C(O)C1CC2CCCCC2CN1CC(O)C(CC1=CC=CC=C1)N=C(O)C(CC(=N)O)NC(=O)C1=CC=C2C=CC=CC2=N1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-7-hydroxy-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)N=C(O)C1CC2CCC(O)CC2CN1CC(O)C(CC1=CC=CC=C1)N=C(O)C(CC(=N)O)NC(=O)C1=CC=C2C=CC=CC2=N1,CYP3A4,Hydroxylation of alicyclic secondary carbon,0.98
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)CC=CCC1C2CCC(C2)C1NS(=O)(=O)C1=CC=CC=C1,(3Z)â€5â€{3â€benzenesulfonamidoâ€6â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)CC=CCC1C2CC(CC2O)C1NS(=O)(=O)C1=CC=CC=C1,CYP2C9;CYP3A4,Aliphatic Hydroxylation,0.85
"(3z)-5-[(1alpha,4alpha)-3beta-[(phenylsulfonyl)amino]bicyclo[2.2.1]heptan-2alpha-yl]-3-pentenoic acid",O=C(O)CC=CCC1C2CCC(C2)C1NS(=O)(=O)C1=CC=CC=C1,(3Z)â€5â€{3â€benzenesulfonamidoâ€5â€hydroxybicyclo[2.2.1]heptanâ€2â€yl}pentâ€3â€enoic acid,O=C(O)CC=CCC1C2CC(O)C(C2)C1NS(=O)(=O)C1=CC=CC=C1,CYP3A4,Aliphatic Hydroxylation,0.82
(r)-(+)-felodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C1=CC=CC(Cl)=C1Cl,Dehydrofelodipine,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)=C1C1=CC=CC(Cl)=C1Cl,CYP3A4,"Dehydrogenation of 4-aryl substituted 1,4-dihydropyridine",0.33
(R)-(-)-Mexiletine,CC1=CC=CC(C)=C1OCC(C)N,"(R)-(-)-Mexiletine, p-hydroxyl",CC1=CC(O)=CC(C)=C1OCC(C)N,CYP1A2 (minor); CYP2D6 (major),HYDROXYLATION_OF_AROMATIC_CARBON; HYDROXYLATION_OF_BENZENE_PARA_TO_EDG,0.85
(R)-(-)-Mexiletine,CC1=CC=CC(C)=C1OCC(C)N,"(R)-(-)-Mexiletine, m-hydroxyl",CC1=CC=C(O)C(C)=C1OCC(C)N,CYP1A2 (minor); CYP2D6 (major),HYDROXYLATION_OF_AROMATIC_CARBON; HYDROXYLATION_OF_BENZENE_ORTHO_TO_EDG,0.78
(R)-(-)-Mexiletine,CC1=CC=CC(C)=C1OCC(C)N,"(R)-(-)-Mexiletine, 2-OH-hydroxymethyl",CC1=CC=CC(CO)=C1OCC(C)N,CYP1A2 (minor); CYP2D6 (major),Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring,0.77
(R)-(-)-Mexiletine,CC1=CC=CC(C)=C1OCC(C)N,"(R)-(-)-Mexiletine, N-hydroxy",CC1=CC=CC(C)=C1OCC(C)NO,CYP1A2 (major); CYP2B6; CYP2E1,N-hydroxylation of primary or secondary aliphatic amine,0.91
(r)-azelastine,CN1CCCC(N2N=C(CC3=CC=C(Cl)C=C3)C3=CC=CC=C3C2=O)CC1,"(r)-azelastine, N-desmethyl",O=C1C2=CC=CC=C2C(CC2=CC=C(Cl)C=C2)=NN1C1CCCNCC1,CYP3A4; CYP2D6; CYP1A2 (minor),N-dealkylation of alicyclic tertiary amine,0.98
(r)-bupropion,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,(2R)-1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,CC(NC(C)(C)CO)C(=O)C1=CC=CC(Cl)=C1,CYP2B6; CYP3A4,Hydroxylation of terminal methyl,0.92
(r)-bupropion,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,(2R)-2-(tert-butylamino)-1-(3-chlorophenyl)-3-hydroxypropan-1-one,CC(C)(C)NC(CO)C(=O)C1=CC=CC(Cl)=C1,CYP2C19,Hydroxylation of terminal methyl,0.86
(r)-bupropion,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,(2R)-2-(tert-butylamino)-1-(3-chloro-4-hydroxyphenyl)propan-1-one,CC(NC(C)(C)C)C(=O)C1=CC=C(O)C(Cl)=C1,CYP2B6;CYP2C19; CYP2E1,Hydroxylation of aromatic carbon ortho to halide group,0.82
(r)-bupropion,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,(2R)â€2â€(tertâ€butylamino)â€1â€(3â€chloroâ€5â€hydroxyphenyl)propanâ€1â€one,CC(NC(C)(C)C)C(=O)C1=CC(O)=CC(Cl)=C1,CYP2B6;CYP2C19; CYP2E1,Hydroxylation of aromatic carbon meta to halide group,0.78
(r)-chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,"(r)-chloroquine, N-desethyl",CCNCCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,CYP2C8; CYP2D6; CYP3A4; CYP3A5,N_DEALKYLATION_OF_ALIPHATIC_TERTIARY_AMINES_PATTERN1; N_DEALKYLATION_OF_ACYCLIC_TERTIARY_AMINES,0.97
(r)-enflurane,FC(F)OC(F)(F)C(F)Cl,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",O=C(F)C(F)(F)OC(F)F,CYP2E1,Oxidation of halotrifluoroethane,0.45
(r)-ketamine,CNC1(C2=CC=CC=C2Cl)CCCCC1=O,Norketamine,NC1(C2=CC=CC=C2Cl)CCCCC1=O,CYP2C9; CYP2B6; CYP3A4 ,N-dealkylation of acyclic secondary amine,0.84
(r)-mda,CC(N)CC1=CC=C2OCOC2=C1,Alpha-methyldopamine,CC(N)CC1=CC=C(O)C(O)=C1,CYP2D6;CYP3A4,O-Demethylation,0.66
(r)-metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,alpha-Hydroxymetoprolol,COCC(O)C1=CC=C(OCC(O)CNC(C)C)C=C1,CYP2D6,Hydroxylation of non-terminal aliphatic carbon adjacent to aromatic ring,0.83
(r)-metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,O-Demethylmetoprolol,CC(C)NCC(O)COC1=CC=C(CCO)C=C1,CYP2D6; CYP3A4,O-dealkylation of dialkylether,0.96
(r)-metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,N_DEISOPROPYLATION,COCCC1=CC=C(OCC(O)CN)C=C1,CYP2C19,N-deisopropylation,0.87
(r)-trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C21,,CNCC(C)CN1C2=CC=CC=C2CCC2=CC=CC=C21,CYP2C19,N-demethylation,0.98
(r)-trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C21,,CC(CN(C)C)CN1C2=CC=CC=C2CC(O)C2=CC=CC=C21,CYP2D6,Aliphatic Hydroxylation,0.76
(r)-trimipramine,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C21,,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC(O)=CC=C21,CYP2D6,Aliphatic Hydroxylation,0.87
(s)-(-)-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,4'-OH-carvedilol,COC1=CC(O)=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,CYP2D6 (major); CYP2E1 (minor); CYP2C9 (minor); CYP3A4 (minor),Hydroxylation of benzene on carbon para to a strongly electron donating group,0.94
(s)-(-)-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,O-Desmethylcarvedilol,OC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,CYP2C9 (major); CYP2D6 (minor); CYP1A2 (minor); CYP2E1 (minor),O-aryl demethylation,0.98
(s)-(-)-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,5'-OH-carvedilol,COC1=CC=C(O)C=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,CYP2D6 (major); CYP2E1 (minor); CYP2C9 (minor); CYP3A4 (minor),Hydroxylation of benzene on carbon para to a strongly electron donating group,0.93
(s)-(-)-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,8-OH-carvedilol,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC(O)=C1N2,CYP1A2 (major); CYP3A4 (minor); CYP1A1 (minor),Aromatic hydroxylation of fused benzene ring,0.91
(s)-(+)-ibuprofen,CC(C)CC1=CC=C(C(C)C(=O)O)C=C1,2-Hydroxyibuprofen,CC(C(=O)O)C1=CC=C(CC(C)(C)O)C=C1,CYP2C9; CYP2C8,Hydroxylation of penultimate aliphatic tertiary carbon,0.91
(s)-(+)-ibuprofen,CC(C)CC1=CC=C(C(C)C(=O)O)C=C1,3-Hydroxyibuprofen,CC(CO)CC1=CC=C(C(C)C(=O)O)C=C1,CYP2C9; CYP2C8,Hydroxylation of terminal methyl,0.92
(s)-fluoxetine,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,(s)-Norfluoxetine,NCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,CYP2C9 (major); CYP2D6; CYP2C19; CYP3A4; CYP3A5,N-dealkylation of acyclic secondary amine,0.95
(s)-fluoxetine,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,p-Trifluoromethyl phenol,OC1=CC=C(C(F)(F)F)C=C1,CYP2C19; CYP3A4,O-dealkylation,0.32
(s)-fluoxetine,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=C1,3-(methylamino)-1-phenylpropan-1-one,CNCCC(=O)C1=CC=CC=C1,CYP2C19; CYP3A4,O-dealkylation,0.27
(s)-flurbiprofen,CC(C(=O)O)C1=CC=C(C2=CC=CC=C2)C(F)=C1,4-OH-S-flurbiprofen,CC(C(=O)O)C1=CC=C(C2=CC=C(O)C=C2)C(F)=C1,CYP2C9,p-Hydroxylation of monosubstituted benzene,0.92
(s)-hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CCCCC2)C1=O,3'-OH-(S)-hexobarbital,CN1C(=O)N=C(O)C(C)(C2=CC(O)CCC2)C1=O,CYP2C9; CYP2C19,Allylic hydroxylation,0.95
(s)-mephobarbital,CCC1(C2=CC=CC=C2)C(=O)N(C)C(=O)N=C1O,4-hydroxymephobarbital,CCC1(C2=CC=C(O)C=C2)C(=O)N(C)C(=O)N=C1O,CYP2C19,Aromatic Hydroxylation,0.97
