parent_name,parent_smiles,parent_inchi,metabolite_name,metabolite_smiles,metabolite_inchi,enzymes,fingerprint_similarity,reaction_type
Ramipril,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,"InChI=1S/C23H32N2O5/c1-3-30-23(29)18(13-12-16-8-5-4-6-9-16)24-15(2)21(26)25-19-11-7-10-17(19)14-20(25)22(27)28/h4-6,8-9,15,17-20,24H,3,7,10-14H2,1-2H3,(H,27,28)/t15-,17-,18-,19-,20-/m0/s1",Ramiprilat,CC(NC(CCC1=CC=CC=C1)C(=O)O)C(=O)N1C(C(=O)O)CC2CCCC21,KEDYTOTWMPBSLG-HILJTLORSA-N,Liver esterases,0.92,
Amphetamine,CC(N)CC1=CC=CC=C1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",4-hydroxyamphetamine,CC(N)CC1=CC=C(O)C=C1,GIKNHHRFLCDOEU-UHFFFAOYSA-N,Cytochrome P450 2D6,0.73,
Amphetamine,CC(N)CC1=CC=CC=C1,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3",Norephedrine,CC(N)C(O)C1=CC=CC=C1,DLNKOYKMWOXYQA-VXNVDRBHSA-N,Cytochrome P450 2D6,0.61,
4-hydroxyamphetamine,CC(N)CC1=CC=C(O)C=C1,GIKNHHRFLCDOEU-UHFFFAOYSA-N,4-Hydroxynorephedrine,CC(N)C(O)C1=CC=C(O)C=C1,JAYBQRKXEFDRER-HZGVNTEJSA-N,,0.67,
Benzoic acid,O=C(O)C1=CC=CC=C1,WPYMKLBDIGXBTP-UHFFFAOYSA-N,Hippuric acid,O=C(O)CNC(=O)C1=CC=CC=C1,QIAFMBKCNZACKA-UHFFFAOYSA-N,,0.28,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",N-Methylnicotinium,CN1CCCC1C1=CC=C[N+](C)=C1,HIOROZIUERMMRQ-UHFFFAOYSA-N,,0.82,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Nicotine imine,C[N+]1=CCCC1C1=CC=CN=C1,GTQXYYYOJZZJHL-UHFFFAOYSA-N,"Cytochrome P450 2A6, Cytochrome P450 2B6",0.56,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,,0.79,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Nornicotine,C1=CN=CC(C2CCCN2)=C1,MYKUKUCHPMASKF-UHFFFAOYSA-N,,0.86,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Nicotine glucuronide,CN1CCCC1C1=C[N+](C2OC(C(=O)[O-])C(O)C(O)C2O)=CC=C1,SAWAIULJDYFLPD-SOAFEQHCSA-N,"UDP-glucuronosyltransferase 1-4, UDP-glucuronosyltransferase 1-9",0.38,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Norcotinine,O=C1CCC(C2=CN=CC=C2)N1,FXFANIORDKRCCA-UHFFFAOYSA-N,,0.73,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",Nicotine-1'-N-oxide,C[N+]1([O-])CCCC1C1=CN=CC=C1,RWFBQHICRCUQJJ-UHFFFAOYSA-N,Dimethylaniline monooxygenase [N-oxide-forming] 3,0.75,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,CN(CCCC(=O)C1=CC=CN=C1)N=O,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,,0.39,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,CN(CCCC(O)C1=CN=CC=C1)N=O,OGRXKBUCZFFSTL-UHFFFAOYSA-N,,0.38,
Nicotine,CN1CCCC1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",2'-Hydroxynicotine,CN1CCCC1(O)C1=CC=CN=C1,,Cytochrome P450 2A6,0.66,
Nicotine imine,C[N+]1=CCCC1C1=CC=CN=C1,GTQXYYYOJZZJHL-UHFFFAOYSA-N,Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,Aldehyde oxidase,0.5,
Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,Cotinine N-oxide,CN1C(=O)CCC1C1=C[N+]([O-])=CC=C1,CIPULDKLIIVIER-VIFPVBQESA-N,,0.88,
Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,3'-Hydroxycotinine,CN1C(=O)C(O)CC1C1=CN=CC=C1,XOKCJXZZNAUIQN-IENPIDJESA-N,Cytochrome P450 2A6,0.8,
Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,Nornicotine,C1=CN=CC(C2CCCN2)=C1,MYKUKUCHPMASKF-UHFFFAOYSA-N,,0.67,
Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,Nicotine-1'-N-oxide,C[N+]1([O-])CCCC1C1=CN=CC=C1,RWFBQHICRCUQJJ-UHFFFAOYSA-N,Dimethylaniline monooxygenase [N-oxide-forming] 3,0.65,
Cotinine,CN1C(=O)CCC1C1=CN=CC=C1,UIKROCXWUNQSPJ-UHFFFAOYSA-N,Cotinine glucuronide,CN1C(=O)CCC1C1=C[N+](C2OC(C(=O)[O-])C(O)C(O)C2O)=CC=C1,XWZCZWKUGIQPJD-UHFFFAOYSA-N,"UDP-glucuronosyltransferase 1-4, UDP-glucuronosyltransferase 1-9",0.46,
Lorazepam,O=C1NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2Cl)=NC1O,"InChI=1S/C15H10Cl2N2O2/c16-8-5-6-12-10(7-8)13(19-15(21)14(20)18-12)9-3-1-2-4-11(9)17/h1-7,15,21H,(H,18,20)",Lorazepam glucuronide,O=C(O)C1OC(OC2N=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N=C2O)C(O)C(O)C1O,IWOJSSFCRQKNKN-IFBJMGMISA-N,,0.52,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1",Bortezomib metabolite M1,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-DOTOQJQBSA-N,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 3A4",0.77,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1",Bortezomib metabolite M34,CC(C)CC(=O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,WREPYMVPDVCLPX-HNNXBMFYSA-N,,0.8,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1",Bortezomib metabolite M23 or M24 (1),CC(C)C=CNC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,ISSYHCZWYPLNBR-FDMDGMSGSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 2D6",0.72,
Bortezomib,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,"InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1",Bortezomib metabolite M23 or M24 (2),CC(C)=CCNC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,HRTUPFKOFWTBTM-INIZCTEOSA-N,"Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 2D6",0.76,
Bortezomib metabolite M1,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-DOTOQJQBSA-N,Bortezomib metabolite M3,NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,KTQJEBWLYWKXRA-NSHDSACASA-N,,0.76,
Bortezomib metabolite M1,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-DOTOQJQBSA-N,Bortezomib metabolite M5,CC(C)(O)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,OPMJHASCCIGLJS-GOEBONIOSA-N,,0.95,
Bortezomib metabolite M2,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-RDJZCZTQSA-N,Bortezomib metabolite M8,CC(C)CC(O)NC(=O)C(NC(=O)C1=CN=CC=N1)C(O)C1=CC=CC=C1,BLVVPFHWFHYTBM-PYNWJHIZSA-N,Cytochrome P450 3A4,0.83,
Bortezomib metabolite M1,CC(C)CC(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,NEIDLJIPMZVISC-DOTOQJQBSA-N,Bortezomib metabolite M25,CC(C)C(O)C(O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,IVVZGLULYNUZDU-BZELLKQSSA-N,,0.91,
Bortezomib metabolite M3,NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1,KTQJEBWLYWKXRA-NSHDSACASA-N,Bortezomib metabolite M4,O=C(NC(CC1=CC=CC=C1)C(=O)O)C1=CN=CC=N1,DWYZPDHMMZGQAP-NSHDSACASA-N,,0.74,
Bortezomib metabolite M8,CC(C)CC(O)NC(=O)C(NC(=O)C1=CN=CC=N1)C(O)C1=CC=CC=C1,BLVVPFHWFHYTBM-PYNWJHIZSA-N,Bortezomib metabolite M33,NC(=O)C(NC(=O)C1=CN=CC=N1)C(O)C1=CC=CC=C1,ASDAHTNZOSVDNQ-PXYINDEMSA-N,,0.79,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1","3,4-Dihydroxyphenylacetone",CC(=O)CC1=CC(O)=C(O)C=C1,JQXBETDGCMQLMK-UHFFFAOYSA-N,,0.45,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",3-(3-hydroxyphenyl)-2-methyllactic acid,CC(O)(CC1=CC(O)=CC=C1)C(=O)O,DQCFPKHWBJEWFV-UHFFFAOYSA-N,,0.48,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",3-(3-hydroxyphenyl)-2-methylpropionic acid,CC(CC1=CC(O)=CC=C1)C(=O)O,ZTHRBJCNTAYZRE-UHFFFAOYSA-N,,0.57,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1","3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",CC(CC1=CC(O)=C(O)C=C1)C(=O)O,GIIOASILGOFVPI-UHFFFAOYSA-N,,0.67,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,COC1=C(O)C=CC(CC(C)(O)C(=O)O)=C1,YNNLUYGFVUZDAD-UHFFFAOYSA-N,,0.5,
Carbidopa,CC(CC1=CC(O)=C(O)C=C1)(NN)C(=O)O,"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1",3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,COC1=C(O)C=CC(CC(C)C(=O)O)=C1,XUQXZROVMZNKPO-UHFFFAOYSA-N,,0.59,
Tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3",O-Desmethyltramadol,CN(C)CC1CCCCC1(O)C1=CC(O)=CC=C1,UWJUQVWARXYRCG-UHFFFAOYSA-N,Cytochrome P450 2D6,0.93,
Tramadol,COC1=CC=CC(C2(O)CCCCC2CN(C)C)=C1,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3",N-Desmethyltramadol,CNCC1CCCCC1(O)C1=CC(OC)=CC=C1,VUMQHLSPUAFKKK-UHFFFAOYSA-N,"Cytochrome P450 3A4, Cytochrome P450 2B6",0.97,
O-Desmethyltramadol,CN(C)CC1CCCCC1(O)C1=CC(O)=CC=C1,UWJUQVWARXYRCG-UHFFFAOYSA-N,O-Desmethyl-tramado glucuronide,CN(C)CC1CCCCC1(O)C1=CC(OC2OC(C(=O)O)C(O)C(O)C2O)=CC=C1,DSBGQRZOJXSECT-UHFFFAOYSA-N,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1-8",0.56,
O-Desmethyltramadol,CN(C)CC1CCCCC1(O)C1=CC(O)=CC=C1,UWJUQVWARXYRCG-UHFFFAOYSA-N,"N,O-didesmethyltramadol",CNCC1CCCCC1(O)C1=CC(O)=CC=C1,CJXNQQLTDXASSR-OCCSQVGLSA-N,Cytochrome P450 2D6,0.97,
N-Desmethyltramadol,CNCC1CCCCC1(O)C1=CC(OC)=CC=C1,VUMQHLSPUAFKKK-UHFFFAOYSA-N,"N,O-didesmethyltramadol",CNCC1CCCCC1(O)C1=CC(O)=CC=C1,CJXNQQLTDXASSR-OCCSQVGLSA-N,Cytochrome P450 2D6,0.93,
N-Desmethyltramadol,CNCC1CCCCC1(O)C1=CC(OC)=CC=C1,VUMQHLSPUAFKKK-UHFFFAOYSA-N,"N,N-didesmethyltramadol",COC1=CC=CC(C2(C)CCCCC2CN)=C1,ZEXALIOABWHLJM-UKRRQHHQSA-N,"Cytochrome P450 3A4, Cytochrome P450 2B6",0.6,
"N,O-didesmethyltramadol",CNCC1CCCCC1(O)C1=CC(O)=CC=C1,CJXNQQLTDXASSR-OCCSQVGLSA-N,"N,N,O-tridesmethyl-tramadol",NCC1CCCCC1(O)C1=CC(O)=CC=C1,MJTYLDGVLFSXDG-YPMHNXCESA-N,,0.92,
"N,N-didesmethyltramadol",COC1=CC=CC(C2(C)CCCCC2CN)=C1,ZEXALIOABWHLJM-UKRRQHHQSA-N,"N,N,O-tridesmethyl-tramadol",NCC1CCCCC1(O)C1=CC(O)=CC=C1,MJTYLDGVLFSXDG-YPMHNXCESA-N,,0.59,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)","Cytochrome P450 1A2, Cytochrome P450 2E1",0.9,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)","Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4",0.91,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","1,3,7-Trimethyluric acid",CN1C(=O)C2=C(NC(=O)N2C)N(C)C1=O,BYXCFUMGEBZDDI-UHFFFAOYSA-N,"Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2E1",0.95,
Caffeine,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","1,7-dimethylxanthine",CN1C(=O)NC2=C(C1=O)N(C)C=N2,QUNWUDVFRNGTCO-UHFFFAOYSA-N,Cytochrome P450 1A2,0.85,
"1,7-dimethylxanthine",CN1C(=O)NC2=C(C1=O)N(C)C=N2,QUNWUDVFRNGTCO-UHFFFAOYSA-N,"1,7-Dimethyluric acid",CN1C(=O)NC2=C(C1=O)N(C)C(=O)N2,NOFNCLGCUJJPKU-UHFFFAOYSA-N,"Cytochrome P450 1A2, Cytochrome P450 2A6",0.95,
Theophylline,CN1C(=O)C2=C(N=CN2)N(C)C1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",1-Methylxanthine,CN1C(=O)NC2=C(NC=N2)C1=O,MVOYJPOZRLFTCP-UHFFFAOYSA-N,Cytochrome P450 1A2,0.82,
"1,7-dimethylxanthine",CN1C(=O)NC2=C(C1=O)N(C)C=N2,QUNWUDVFRNGTCO-UHFFFAOYSA-N,5-Acetylamino-6-formylamino-3-methyluracil,CC(=O)NC1=C(NC=O)NC(=O)N(C)C1=O,RDZNZFGKEVDNPK-UHFFFAOYSA-N,Arylamine N-acetyltransferase 2,0.34,
"1,7-dimethylxanthine",CN1C(=O)NC2=C(C1=O)N(C)C=N2,QUNWUDVFRNGTCO-UHFFFAOYSA-N,1-Methylxanthine,CN1C(=O)NC2=C(NC=N2)C1=O,MVOYJPOZRLFTCP-UHFFFAOYSA-N,Xanthine dehydrogenase/oxidase,0.88,
